x(m/s),y(m/s),z(m/s),t(s)
0.2609567642,9.827775002,-0.916939795,0.508051667
0.2561685741,9.834958076,-0.9073634148,0.510433021
0.2561685741,9.851716042,-0.9121516347,0.512814427
0.2441980839,9.84453392,-0.9193339348,0.515195052
0.2298334837,9.830168724,-0.9097574949,0.517575677
0.2154688835,9.827775002,-0.9145457745,0.519957031
0.2034983933,9.846927643,-0.9025752544,0.522338906
0.1987102032,9.851716042,-0.878634274,0.524719478
0.184345603,9.842140198,-0.9073634148,0.527100103
0.1723751128,9.851716042,-0.9193339348,0.52948151
0.1675869077,9.851716042,-0.8977869749,0.531862916
0.1651928127,9.839746475,-0.9073634148,0.534243489
0.1675869077,9.832564354,-0.9313044548,0.536624114
0.1867396981,9.830168724,-0.9360926151,0.539005468
0.2154688835,9.842140198,-0.9432749152,0.541386874
0.2322275788,9.839746475,-0.9360926151,0.543766718
0.2585626841,9.832564354,-0.9384866953,0.546147343
0.2705331445,9.830168724,-0.9600335956,0.548528697
0.2753213346,9.813410759,-0.9696099758,0.550910104
0.2944741547,9.811017036,-0.9576395154,0.553290729
0.304050535,9.818199158,-0.9360926151,0.555671354
0.301656425,9.808623314,-0.9408808351,0.558052708
0.2848977447,9.791864395,-0.9456689954,0.560434114
0.2657449543,9.794258118,-0.9313044548,0.562814687
0.2537744641,9.818199158,-0.9217280149,0.565195312
0.2322275788,9.82059288,-0.9336984754,0.567576718
0.1963160932,9.811017036,-0.9313044548,0.569958125
0.181951493,9.806227684,-0.9336984754,0.572338697
0.1651928127,9.806227684,-0.9552453756,0.574719322
0.1508282125,9.82059288,-0.9576395154,0.577100677
0.129281342,9.832564354,-0.9456689954,0.579482083
0.1125226393,9.839746475,-0.9600335956,0.581862708
0.1005521491,9.839746475,-0.9600335956,0.584243385
0.1077344418,9.832564354,-0.9648218155,0.586624948
0.1220990419,9.825381279,-0.972004056,0.589006354
0.1364636272,9.830168724,-0.9648218155,0.591386979
0.1508282125,9.842140198,-0.9815804958,0.593767604
0.1580105126,9.837351799,-0.972004056,0.596148958
0.1771633178,9.839746475,-0.9672158957,0.598530365
0.2011042982,9.834958076,-1.012703776,0.600910938
0.2298334837,9.830168724,-1.046221137,0.603291563
0.2489862591,9.830168724,-1.055797458,0.605672969
0.2585626841,9.794258118,-1.065374017,0.608054375
0.2657449543,9.779892921,-1.043827057,0.610434948
0.2729272544,9.808623314,-0.9791863561,0.612815573
0.2729272544,9.787075996,-0.983974576,0.615196927
0.2681390643,9.806227684,-0.9600335956,0.617578333
0.2609567642,9.832564354,-0.9576395154,0.619958958
0.2418039739,9.801440239,-1.000733256,0.622339583
0.2370157838,9.834958076,-0.9241221547,0.624720468
0.2202570736,9.863686562,-0.9097574949,0.627101874
0.1604046077,9.842140198,-0.9983391762,0.629482499
0.1197049394,9.84453392,-1.003127337,0.631863124
0.1005521491,9.858899117,-0.9983391762,0.634244478
0.06224656478,9.861292839,-1.034250736,0.636625884
0.02872918546,9.882840157,-1.000733256,0.639006457
0.01915278845,9.904387474,-0.9528512955,0.641387082
0.002394098556,9.882840157,-0.9576395154,0.643768488
0.004788197111,9.882840157,-0.9528512955,0.646149895
0.03351738304,9.885233879,-0.9552453756,0.648531562
0.05027607456,9.854109764,-0.9815804958,0.650912187
0.08618755639,9.842140198,-0.9815804958,0.653293541
0.1316754371,9.834958076,-0.9528512955,0.655674947
0.1771633178,9.830168724,-0.9049693346,0.658055572
0.2274393737,9.815805435,-0.9049693346,0.660436197
0.2777154744,9.794258118,-0.9217280149,0.662817551
0.3208092153,9.777499199,-0.9073634148,0.665197707
0.3543266356,9.758345604,-0.9336984754,0.667578332
0.3854499161,9.763134956,-0.9480631351,0.669958957
0.4022085965,9.7727108,-0.9552453756,0.672340312
0.4189672768,9.794258118,-0.9600335956,0.674722083
0.4165731966,9.806227684,-0.9528512955,0.677102708
0.3950262666,9.811017036,-0.9504572153,0.679483333
0.366297096,9.830168724,-0.9480631351,0.681864687
0.3375679255,9.851716042,-0.972004056,0.684246093
0.2944741547,9.856505394,-0.9863687158,0.686626666
0.2370157838,9.86847496,-0.9456689954,0.689007291
0.1867396981,9.882840157,-0.9121516347,0.691388697
0.1508282125,9.880446434,-0.9217280149,0.693770104
0.1029462516,9.894809723,-0.8929988146,0.696150677
0.05027607456,9.901991844,-0.823570013,0.698531302
0.01436459273,9.885233879,-0.7972348928,0.700912656
-0.03830557689,9.846927643,-0.8427227736,0.703294166
-0.1029462516,9.834958076,-0.8044171929,0.705674791
-0.1388577372,9.822986603,-0.7469587922,0.708055416
-0.1532223076,9.801440239,-0.7948408127,0.71043677
-0.1484341323,9.830168724,-0.8475109339,0.712818176
-0.1149167418,9.854109764,-0.8618755341,0.715200207
-0.05506426841,9.863686562,-0.8355404139,0.717580832
-0.002394098556,9.894809723,-0.8020230532,0.719962187
0.04548787326,9.890022278,-0.8953929543,0.722343593
0.08379345387,9.842140198,-0.9935510159,0.724724166
0.1149167418,9.813410759,-0.9193339348,0.727104791
0.1436459273,9.808623314,-0.8475109339,0.729486197
0.1723751128,9.777499199,-0.8714519143,0.731867603
0.2250452787,9.765528679,-0.8977869749,0.734248176
0.2585626841,9.765528679,-0.9025752544,0.736628801
0.251380384,9.763134956,-0.8834224343,0.739010155
0.2418039739,9.767923355,-0.9001811147,0.741391562
0.2130747885,9.784682274,-0.9672158957,0.743770468
0.1771633178,9.794258118,-1.019886017,0.746151093
0.1508282125,9.7727108,-1.046221137,0.748532447
0.0885816589,9.782286644,-1.022280216,0.750913853
0.01436459273,9.830168724,-0.8810282946,0.753294478
-0.03830557689,9.854109764,-0.665559411,0.755675103
-0.08618755639,9.858899117,-0.6009188294,0.758056457
-0.1316754371,9.827775002,-0.811599493,0.760437863
-0.1436459273,9.789469719,-1.034250736,0.762818436
-0.129281342,9.82059288,-1.062979817,0.765199061
-0.1005521491,9.894809723,-1.062979817,0.767580468
-0.05027607456,9.952267647,-1.106073618,0.769961874
0.02872918546,9.957056999,-1.146773219,0.772342447
0.1101285368,9.96423912,-1.094103098,0.774723072
0.184345603,9.961845398,-0.9480631351,0.777104426
0.2609567642,9.923539162,-0.8618755341,0.779487708
0.3255974352,9.851716042,-0.9336984754,0.781868333
0.3591148257,9.791864395,-1.012703776,0.784248593
0.3854499161,9.751164436,-1.003127337,0.786629947
0.4046026766,9.720041275,-1.027068377,0.789011354
0.3998144865,9.722434998,-1.165926099,0.791391979
0.3758735061,9.732010841,-1.304783821,0.793772604
0.3591148257,9.760741234,-1.297601461,0.796154479
0.3447502255,9.815805435,-1.146773219,0.798535885
0.3232033551,9.84453392,-1.070162177,0.80091651
0.2944741547,9.825381279,-1.113255858,0.803297135
0.2657449543,9.779892921,-1.089314818,0.805678489
0.2250452787,9.741587639,-0.972004056,0.808059895
0.1723751128,9.715252876,-0.8810282946,0.810440468
0.1149167418,9.720041275,-0.8379345536,0.812821093
0.05506426841,9.72482872,-0.8307522535,0.8152025
0.002394098556,9.751164436,-0.8522991538,0.817583906
-0.04788197577,9.813410759,-0.8906047344,0.819964479
-0.07661115378,9.863686562,-0.9743981957,0.822345104
-0.08379345387,9.887627602,-1.120438218,0.824724061
-0.06942886859,9.935509682,-1.225778461,0.827105467
-0.02872918546,9.96423912,-1.24014318,0.829486092
0.03112328239,9.945085526,-1.21141398,0.831866717
0.09576395154,9.91635704,-1.161137819,0.834248071
0.1412518322,9.890022278,-1.103679538,0.836629478
0.2154688835,9.851716042,-1.007915616,0.839010103
0.2825036645,9.808623314,-0.9049693346,0.841390728
0.3279915452,9.787075996,-0.8714519143,0.843772655
0.3591148257,9.770317078,-0.9265161753,0.846154061
0.3615089059,9.741587639,-1.034250736,0.848534686
0.366297096,9.736800194,-1.130014658,0.850915311
0.3567207158,9.739193916,-1.1922611,0.853296665
0.3375679255,9.741587639,-1.220990419,0.855678071
0.2968682647,9.755951881,-1.173108339,0.858058644
0.2681390643,9.784682274,-1.067767978,0.860439269
0.2274393737,9.803833961,-0.9528512955,0.862820676
0.1723751128,9.79665184,-0.8499050736,0.865201667
0.1316754371,9.767923355,-0.811599493,0.867582292
0.09576395154,9.751164436,-0.8259640336,0.869962917
0.06224656478,9.763134956,-0.8451168537,0.872344271
0.03351738304,9.777499199,-0.8618755341,0.874725729
0.007182296365,9.811017036,-0.9073634148,0.877106354
0.01197049394,9.861292839,-0.9815804958,0.879486979
0.02394098788,9.887627602,-1.058191657,0.881868333
0.03112328239,9.892416,-1.108467698,0.88424974
0.03591148183,9.909174919,-1.110861897,0.886630365
0.06224656478,9.921145439,-1.089314818,0.88901099
0.1053403467,9.897204399,-1.041432977,0.891392344
0.1532223076,9.873263359,-0.9863687158,0.89377375
0.2106806934,9.849322319,-0.9360926151,0.896154375
0.2753213346,9.811017036,-0.9145457745,0.898535
0.3447502255,9.777499199,-0.9097574949,0.900916354
0.3950262666,9.765528679,-0.9025752544,0.903297447
