"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.151932810E-1,1.819514930E-1,9.791864395E0,-9.839745760E-1
4.175746870E-1,2.130747885E-1,9.791864395E0,-1.000733256E0
4.199552600E-1,2.441980839E-1,9.796651840E0,-1.015097857E0
4.223358850E-1,2.513803840E-1,9.799045563E0,-1.017491937E0
4.247164050E-1,2.489862591E-1,9.818199158E0,-1.022280216E0
4.270978120E-1,2.418039739E-1,9.830168724E0,-1.027068377E0
4.294784370E-1,2.202570736E-1,9.832564354E0,-1.029462457E0
4.318590620E-1,2.106806934E-1,9.844533920E0,-1.029462457E0
4.342404160E-1,1.987102032E-1,9.844533920E0,-1.031856537E0
4.366218220E-1,1.771633178E-1,9.842140198E0,-1.017491937E0
4.390024470E-1,1.627987176E-1,9.830168724E0,-9.959450364E-1
4.413830720E-1,1.651928127E-1,9.820592880E0,-9.767923355E-1
4.437644260E-1,1.604046077E-1,9.827775002E0,-9.600335956E-1
4.461458320E-1,1.627987176E-1,9.820592880E0,-9.648218155E-1
4.485264570E-1,1.795574129E-1,9.813410759E0,-9.552453756E-1
4.509070820E-1,1.963160932E-1,9.818199158E0,-9.600335956E-1
4.532884370E-1,2.298334837E-1,9.813410759E0,-9.791863561E-1
4.556698430E-1,2.537744641E-1,9.815805435E0,-9.696099758E-1
4.580506250E-1,2.537744641E-1,9.832564354E0,-9.648218155E-1
4.604312500E-1,2.537744641E-1,9.837351799E0,-9.624276757E-1
4.628126040E-1,2.609567642E-1,9.825381279E0,-9.672158957E-1
4.651939580E-1,2.657449543E-1,9.813410759E0,-9.767923355E-1
4.675745830E-1,2.705331445E-1,9.825381279E0,-9.863687158E-1
4.699552080E-1,2.848977447E-1,9.827775002E0,-9.983391762E-1
4.723365620E-1,2.825036645E-1,9.818199158E0,-9.935510159E-1
4.747182290E-1,2.633508742E-1,9.806227684E0,-9.791863561E-1
4.770988540E-1,2.513803840E-1,9.799045563E0,-9.576395154E-1
4.794794790E-1,2.585626841E-1,9.799045563E0,-9.432749152E-1
4.818608330E-1,2.489862591E-1,9.803833961E0,-9.265161753E-1
4.842422390E-1,2.370157838E-1,9.815805435E0,-9.073634148E-1
4.866228120E-1,2.441980839E-1,9.811017036E0,-9.073634148E-1
4.890034370E-1,2.370157838E-1,9.801440239E0,-9.025752544E-1
4.913848430E-1,2.298334837E-1,9.799045563E0,-9.073634148E-1
4.937662490E-1,2.513803840E-1,9.806227684E0,-9.265161753E-1
4.961468220E-1,2.705331445E-1,9.815805435E0,-9.289103150E-1
4.985274470E-1,2.705331445E-1,9.806227684E0,-9.097574949E-1
5.009088010E-1,2.657449543E-1,9.808623314E0,-9.145457745E-1
5.032904170E-1,2.633508742E-1,9.827775002E0,-9.384866953E-1
5.056710420E-1,2.633508742E-1,9.834958076E0,-9.313044548E-1
5.080516670E-1,2.609567642E-1,9.827775002E0,-9.169397950E-1
5.104330210E-1,2.561685741E-1,9.834958076E0,-9.073634148E-1
5.128144270E-1,2.561685741E-1,9.851716042E0,-9.121516347E-1
5.151950520E-1,2.441980839E-1,9.844533920E0,-9.193339348E-1
5.175756770E-1,2.298334837E-1,9.830168724E0,-9.097574949E-1
5.199570310E-1,2.154688835E-1,9.827775002E0,-9.145457745E-1
5.223389060E-1,2.034983933E-1,9.846927643E0,-9.025752544E-1
5.247194780E-1,1.987102032E-1,9.851716042E0,-8.786342740E-1
5.271001030E-1,1.843456030E-1,9.842140198E0,-9.073634148E-1
5.294815100E-1,1.723751128E-1,9.851716042E0,-9.193339348E-1
5.318629160E-1,1.675869077E-1,9.851716042E0,-8.977869749E-1
5.342434890E-1,1.651928127E-1,9.839746475E0,-9.073634148E-1
5.366241140E-1,1.675869077E-1,9.832564354E0,-9.313044548E-1
5.390054680E-1,1.867396981E-1,9.830168724E0,-9.360926151E-1
5.413868740E-1,2.154688835E-1,9.842140198E0,-9.432749152E-1
5.437667180E-1,2.322275788E-1,9.839746475E0,-9.360926151E-1
5.461473430E-1,2.585626841E-1,9.832564354E0,-9.384866953E-1
5.485286970E-1,2.705331445E-1,9.830168724E0,-9.600335956E-1
5.509101040E-1,2.753213346E-1,9.813410759E0,-9.696099758E-1
5.532907290E-1,2.944741547E-1,9.811017036E0,-9.576395154E-1
5.556713540E-1,3.040505350E-1,9.818199158E0,-9.360926151E-1
5.580527080E-1,3.016564250E-1,9.808623314E0,-9.408808351E-1
5.604341140E-1,2.848977447E-1,9.791864395E0,-9.456689954E-1
5.628146870E-1,2.657449543E-1,9.794258118E0,-9.313044548E-1
5.651953120E-1,2.537744641E-1,9.818199158E0,-9.217280149E-1
5.675767180E-1,2.322275788E-1,9.820592880E0,-9.336984754E-1
5.699581250E-1,1.963160932E-1,9.811017036E0,-9.313044548E-1
5.723386970E-1,1.819514930E-1,9.806227684E0,-9.336984754E-1
5.747193220E-1,1.651928127E-1,9.806227684E0,-9.552453756E-1
5.771006770E-1,1.508282125E-1,9.820592880E0,-9.576395154E-1
5.794820830E-1,1.292813420E-1,9.832564354E0,-9.456689954E-1
5.818627080E-1,1.125226393E-1,9.839746475E0,-9.600335956E-1
5.842433850E-1,1.005521491E-1,9.839746475E0,-9.600335956E-1
5.866249480E-1,1.077344418E-1,9.832564354E0,-9.648218155E-1
5.890063540E-1,1.220990419E-1,9.825381279E0,-9.720040560E-1
5.913869790E-1,1.364636272E-1,9.830168724E0,-9.648218155E-1
5.937676040E-1,1.508282125E-1,9.842140198E0,-9.815804958E-1
5.961489580E-1,1.580105126E-1,9.837351799E0,-9.720040560E-1
5.985303650E-1,1.771633178E-1,9.839746475E0,-9.672158957E-1
6.009109380E-1,2.011042982E-1,9.834958076E0,-1.012703776E0
6.032915630E-1,2.298334837E-1,9.830168724E0,-1.046221137E0
6.056729690E-1,2.489862591E-1,9.830168724E0,-1.055797458E0
6.080543750E-1,2.585626841E-1,9.794258118E0,-1.065374017E0
6.104349480E-1,2.657449543E-1,9.779892921E0,-1.043827057E0
6.128155730E-1,2.729272544E-1,9.808623314E0,-9.791863561E-1
6.151969270E-1,2.729272544E-1,9.787075996E0,-9.839745760E-1
6.175783330E-1,2.681390643E-1,9.806227684E0,-9.600335956E-1
6.199589580E-1,2.609567642E-1,9.832564354E0,-9.576395154E-1
6.223395830E-1,2.418039739E-1,9.801440239E0,-1.000733256E0
6.247204680E-1,2.370157838E-1,9.834958076E0,-9.241221547E-1
6.271018740E-1,2.202570736E-1,9.863686562E0,-9.097574949E-1
