"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
7.184809513E1,3.518933361E1,1.371053697E2,1.348074228E2,4.360000134E0,3.475000000E2,3.216000080E0,3.000000000E0
7.285825528E1,3.518937110E1,1.371053564E2,1.348469832E2,4.219999790E0,3.432999878E2,3.216000080E0,3.000000000E0
7.385127961E1,3.518941090E1,1.371053437E2,1.344872489E2,4.579999924E0,3.462999878E2,3.216000080E0,3.000000000E0
7.485128669E1,3.518945232E1,1.371053326E2,1.345114204E2,4.610000134E0,3.482000122E2,3.216000080E0,3.000000000E0
7.585170002E1,3.518949220E1,1.371053220E2,1.344384849E2,4.360000134E0,3.468999939E2,3.216000080E0,3.000000000E0
7.685055580E1,3.518953134E1,1.371053127E2,1.340031809E2,4.420000076E0,3.487999878E2,3.216000080E0,3.000000000E0
7.785071695E1,3.518956911E1,1.371053050E2,1.338628567E2,4.159999847E0,3.506000061E2,3.216000080E0,3.000000000E0
7.885713507E1,3.518960773E1,1.371052972E2,1.340537699E2,4.539999962E0,3.507999878E2,3.216000080E0,3.000000000E0
7.985076237E1,3.518964664E1,1.371052892E2,1.343198786E2,4.250000000E0,3.502999878E2,3.216000080E0,3.000000000E0
8.085326497E1,3.518968613E1,1.371052807E2,1.340309958E2,4.480000019E0,3.491000061E2,3.216000080E0,3.000000000E0
8.185022622E1,3.518972427E1,1.371052690E2,1.336204176E2,4.199999809E0,3.462999878E2,3.216000080E0,3.000000000E0
8.285093919E1,3.518976152E1,1.371052561E2,1.337563517E2,4.300000191E0,3.443999939E2,3.216000080E0,3.000000000E0
8.385946403E1,3.518979867E1,1.371052419E2,1.338083657E2,4.179999828E0,3.423999939E2,3.216000080E0,3.000000000E0
8.484926877E1,3.518983459E1,1.371052299E2,1.336576165E2,4.019999981E0,3.461000061E2,3.216000080E0,3.000000000E0
8.585133903E1,3.518987025E1,1.371052200E2,1.335300555E2,3.900000095E0,3.477000122E2,3.216000080E0,3.000000000E0
8.684772262E1,3.518990616E1,1.371052104E2,1.332682161E2,3.980000019E0,3.476000061E2,3.216000080E0,3.000000000E0
8.785984064E1,3.518994118E1,1.371051988E2,1.337123149E2,3.819999933E0,3.447999878E2,3.216000080E0,3.000000000E0
8.884775153E1,3.518997387E1,1.371051865E2,1.339160604E2,3.559999943E0,3.425000000E2,3.216000080E0,3.000000000E0
8.985438179E1,3.519000516E1,1.371051746E2,1.337835023E2,3.549999952E0,3.436000061E2,3.216000080E0,3.000000000E0
9.086131033E1,3.519003690E1,1.371051642E2,1.339115602E2,3.569999933E0,3.456000061E2,3.216000080E0,3.000000000E0
9.184915293E1,3.519006617E1,1.371051560E2,1.342028221E2,3.039999962E0,3.472000122E2,3.216000080E0,3.000000000E0
9.285039064E1,3.519009242E1,1.371051492E2,1.336611355E2,2.829999924E0,3.470000000E2,3.216000080E0,3.000000000E0
9.385462543E1,3.519011393E1,1.371051444E2,1.346121228E2,1.990000010E0,3.476000061E2,3.216000080E0,3.000000000E0
9.484707554E1,3.519012707E1,1.371051419E2,1.344495841E2,1.009999990E0,3.481000061E2,3.216000080E0,3.000000000E0
9.585073351E1,3.519013260E1,1.371051414E2,1.343988616E2,2.700000107E-1,3.481000061E2,3.216000080E0,3.000000000E0
9.684852502E1,3.519013322E1,1.371051424E2,1.344940127E2,0.000000000E0,0.000000000E0,3.216000080E0,3.000000000E0
9.785448137E1,3.519013447E1,1.371051420E2,1.344462834E2,0.000000000E0,0.000000000E0,3.216000080E0,3.000000000E0
9.886065439E1,3.519013681E1,1.371051411E2,1.345610301E2,0.000000000E0,0.000000000E0,3.216000080E0,3.000000000E0
9.985222293E1,3.519013859E1,1.371051402E2,1.344740562E2,0.000000000E0,0.000000000E0,3.216000080E0,3.000000000E0
1.008525299E2,3.519014017E1,1.371051393E2,1.344796727E2,0.000000000E0,0.000000000E0,3.216000080E0,3.000000000E0
1.018613275E2,3.519014143E1,1.371051385E2,1.345370471E2,0.000000000E0,0.000000000E0,3.216000080E0,3.000000000E0
1.028495335E2,3.519014173E1,1.371051387E2,1.346162089E2,0.000000000E0,0.000000000E0,3.216000080E0,3.000000000E0
1.038519628E2,3.519014173E1,1.371051386E2,1.347176495E2,0.000000000E0,0.000000000E0,3.216000080E0,3.000000000E0
1.048630713E2,3.519014167E1,1.371051382E2,1.347151483E2,0.000000000E0,0.000000000E0,3.216000080E0,3.000000000E0
1.058534796E2,3.519014174E1,1.371051377E2,1.346190800E2,0.000000000E0,0.000000000E0,3.216000080E0,3.000000000E0
1.068508181E2,3.519014159E1,1.371051375E2,1.345887462E2,0.000000000E0,0.000000000E0,3.216000080E0,3.000000000E0
